CYLINDER						
a (deg)	CL	CD	CM	CL	CD	CM
18.00	1.541	0.132	-0.232	1.541	0.132	-0.232
20.00	1.805	0.157	-0.257	1.805	0.157	-0.257
22.00	2.002	0.276	-0.281	2.002	0.276	-0.281
24.00	2.122	0.422	-0.306	2.122	0.422	-0.306
26.00	2.192	0.561	-0.329	2.192	0.561	-0.329
28.00	2.229	0.686	-0.352	2.229	0.686	-0.352
30.00	2.232	0.796	-0.371	2.232	0.796	-0.371
32.00	2.219	0.892	-0.388	2.219	0.892	-0.388
33.00	2.209	0.923	-0.385	2.209	0.923	-0.385
34.00	2.193	0.947	-0.381	2.193	0.947	-0.381
35.00	2.163	0.966	-0.375	2.163	0.966	-0.375
36.00	2.131	0.989	-0.369	2.131	0.989	-0.369
37.00	2.088	1.007	-0.363	2.088	1.007	-0.363
38.00	2.044	1.028	-0.357	2.044	1.028	-0.357
39.00	1.998	1.052	-0.350	1.998	1.052	-0.350
40.00	1.942	1.077	-0.344	1.942	1.077	-0.344
45.00	1.678	1.170	-0.323	1.678	1.170	-0.323
50.00	1.286	1.197	-0.304	1.286	1.197	-0.304
55.00	1.031	1.196	-0.295	1.031	1.196	-0.295
60.00	0.866	1.190	-0.287	0.866	1.190	-0.287
65.00	0.766	1.193	-0.277	0.766	1.193	-0.277
70.00	0.643	1.203	-0.265	0.643	1.203	-0.265
75.00	0.500	1.213	-0.252	0.500	1.213	-0.252
80.00	0.342	1.261	-0.246	0.342	1.261	-0.246
85.00	0.174	1.290	-0.249	0.174	1.290	-0.249
90.00	0.000	1.300	-0.250	0.000	1.300	-0.250
95.00	-0.174	1.290	-0.249	-0.174	1.290	-0.249
100.00	-0.342	1.261	-0.246	-0.342	1.261	-0.246
105.00	-0.500	1.213	-0.242	-0.500	1.213	-0.242
110.00	-0.643	1.148	-0.235	-0.643	1.148	-0.235
115.00	-0.766	1.068	-0.227	-0.766	1.068	-0.227
120.00	-0.866	0.975	-0.217	-0.866	0.975	-0.217
125.00	-0.940	0.872	-0.205	-0.940	0.872	-0.205
130.00	-0.985	0.763	-0.192	-0.985	0.763	-0.192
135.00	-1.000	0.650	-0.177	-1.000	0.650	-0.177
140.00	-0.985	0.537	-0.161	-0.985	0.537	-0.161
145.00	-0.940	0.428	-0.143	-0.940	0.428	-0.143
150.00	-0.866	0.325	-0.125	-0.866	0.325	-0.125
155.00	-0.766	0.232	-0.106	-0.766	0.232	-0.106
160.00	-0.643	0.152	-0.086	-0.643	0.152	-0.086
165.00	-0.500	0.087	-0.065	-0.500	0.087	-0.065
170.00	-0.342	0.039	-0.043	-0.342	0.039	-0.043
175.00	-0.174	0.010	-0.022	-0.174	0.010	-0.022
180.00	0.000	0.000	0.000	0.000	0.000	0.000
						
						
t/c=0.30						
a (deg)	CL	CD	CM	CL	CD	CM
-180.00	0.000	0.000	0.000	0.000	0.000	0.000
-175.00	0.174	0.010	0.022	0.174	0.010	0.022
-170.00	0.342	0.039	0.043	0.342	0.039	0.043
-165.00	0.500	0.087	0.065	0.500	0.087	0.065
-160.00	0.643	0.152	0.086	0.643	0.152	0.086
-155.00	0.766	0.232	0.106	0.766	0.232	0.106
-150.00	0.866	0.325	0.125	0.866	0.325	0.125
-145.00	0.940	0.428	0.143	0.940	0.428	0.143
-140.00	0.985	0.537	0.161	0.985	0.537	0.161
-135.00	1.000	0.650	0.177	1.000	0.650	0.177
-130.00	0.985	0.763	0.192	0.985	0.763	0.192
-125.00	0.940	0.872	0.205	0.940	0.872	0.205
-120.00	0.866	0.975	0.217	0.866	0.975	0.217
-115.00	0.766	1.068	0.227	0.766	1.068	0.227
-110.00	0.643	1.148	0.235	0.643	1.148	0.235
-105.00	0.500	1.213	0.242	0.500	1.213	0.242
-100.00	0.342	1.261	0.246	0.342	1.261	0.246
-95.00	0.174	1.290	0.249	0.174	1.290	0.249
-90.00	0.000	1.300	0.250	0.000	1.300	0.250
-85.00	-0.174	1.290	0.249	-0.174	1.290	0.249
-80.00	-0.342	1.261	0.246	-0.342	1.261	0.246
-75.00	-0.500	1.213	0.242	-0.500	1.213	0.242
-70.00	-0.643	1.148	0.235	-0.643	1.148	0.235
-65.00	-0.766	1.068	0.227	-0.766	1.068	0.227
-60.00	-0.866	0.975	0.217	-0.866	0.975	0.217
-55.00	-0.940	0.872	0.205	-0.940	0.872	0.205
-50.00	-0.985	0.763	0.192	-0.985	0.763	0.192
-45.00	-1.000	0.650	0.177	-1.000	0.650	0.177
-40.00	-1.022	0.535	0.142	-1.022	0.535	0.142
-39.00	-1.024	0.507	0.135	-1.024	0.507	0.135
-38.00	-1.016	0.485	0.128	-1.016	0.485	0.128
-37.00	-1.019	0.457	0.121	-1.019	0.457	0.121
-36.00	-1.011	0.428	0.114	-1.011	0.428	0.114
-35.00	-1.003	0.399	0.097	-1.003	0.399	0.097
-34.00	-0.995	0.371	0.079	-0.995	0.371	0.079
-33.00	-0.988	0.335	0.062	-0.988	0.335	0.062
-32.00	-0.984	0.310	0.052	-0.984	0.310	0.052
-30.00	-0.970	0.266	0.039	-0.970	0.266	0.039
-28.00	-0.967	0.223	0.026	-0.967	0.223	0.026
-26.00	-0.944	0.194	0.015	-0.944	0.194	0.015
-24.00	-0.931	0.165	0.005	-0.931	0.165	0.005
-22.00	-0.905	0.142	-0.004	-0.905	0.142	-0.004
-20.00	-0.878	0.118	-0.012	-0.878	0.118	-0.012
-18.00	-0.846	0.099	-0.018	-0.846	0.099	-0.018
-16.00	-0.813	0.079	-0.023	-0.813	0.079	-0.023
-14.00	-0.773	0.064	-0.024	-0.773	0.064	-0.024
-12.00	-0.732	0.050	-0.024	-0.732	0.050	-0.024
-10.00	-0.694	0.038	-0.023	-0.694	0.038	-0.023
-8.00	-0.655	0.027	-0.021	-0.655	0.027	-0.021
-6.00	-0.451	0.020	-0.039	-0.451	0.020	-0.039
-4.00	-0.247	0.014	-0.057	-0.247	0.014	-0.057
-2.00	0.030	0.013	-0.072	0.030	0.013	-0.072
0.00	0.306	0.012	-0.087	0.306	0.012	-0.087
2.00	0.567	0.012	-0.095	0.567	0.012	-0.095
4.00	0.820	0.013	-0.102	0.820	0.013	-0.102
6.00	1.061	0.014	-0.107	1.061	0.014	-0.107
8.00	1.287	0.015	-0.109	1.287	0.015	-0.109
10.00	1.484	0.018	-0.108	1.484	0.018	-0.108
12.00	1.639	0.022	-0.103	1.639	0.022	-0.103
14.00	1.733	0.030	-0.095	1.733	0.030	-0.095
16.00	1.714	0.054	-0.091	1.714	0.054	-0.091
18.00	1.683	0.095	-0.098	1.683	0.095	-0.098
20.00	1.657	0.144	-0.110	1.657	0.144	-0.110
22.00	1.644	0.228	-0.130	1.644	0.228	-0.130
24.00	1.633	0.315	-0.153	1.633	0.315	-0.153
26.00	1.633	0.393	-0.176	1.633	0.393	-0.176
28.00	1.618	0.462	-0.197	1.618	0.462	-0.197
30.00	1.598	0.527	-0.215	1.598	0.527	-0.215
32.00	1.571	0.586	-0.231	1.571	0.586	-0.231
33.00	1.576	0.622	-0.237	1.576	0.622	-0.237
34.00	1.557	0.656	-0.241	1.557	0.656	-0.241
35.00	1.548	0.690	-0.245	1.548	0.690	-0.245
36.00	1.527	0.715	-0.249	1.527	0.715	-0.249
37.00	1.526	0.746	-0.250	1.526	0.746	-0.250
